Date,BTC-USD,S&P500,SMLL,IFIX,IBOV,CDI
2019-07-10,12156.5126953125,120.5,111.08000183105469,10.220000267028809,105817.0,1.0065
2019-07-11,11358.662109375,119.81999969482422,110.8499984741211,10.220000267028809,105146.0,1.0065
2019-07-12,11815.986328125,120.05000305175781,109.4000015258789,10.220000267028809,103906.0,1.0065
2019-07-13,11392.37890625,120.05000305175781,109.4000015258789,10.220000267028809,103906.0,1.0065
2019-07-14,10256.05859375,120.05000305175781,109.4000015258789,10.220000267028809,103906.0,1.0065
2019-07-15,10895.08984375,120.75,108.72000122070312,10.220000267028809,103803.0,1.0065
2019-07-16,9477.6416015625,120.38999938964844,108.75,10.220000267028809,103775.0,1.0065
2019-07-17,9693.802734375,119.75,109.55000305175781,10.220000267028809,103856.0,1.0065
2019-07-18,10666.482421875,119.01000213623047,110.0,10.220000267028809,104717.0,1.0065
2019-07-19,10530.732421875,119.0999984741211,109.0999984741211,10.220000267028809,103452.0,1.0065
2019-07-20,10767.1396484375,119.0999984741211,109.0999984741211,10.220000267028809,103452.0,1.0065
2019-07-21,10599.10546875,119.0999984741211,109.0999984741211,10.220000267028809,103452.0,1.0065
2019-07-22,10343.1064453125,118.98999786376953,108.80000305175781,10.220000267028809,103949.0,1.0065
2019-07-23,9900.767578125,121.0999984741211,108.5,10.220000267028809,103704.0,1.0065
2019-07-24,9811.92578125,121.31999969482422,108.44999694824219,10.220000267028809,104120.0,1.0065
2019-07-25,9911.841796875,121.25,107.5,10.220000267028809,102655.0,1.0065
2019-07-26,9870.3037109375,121.80000305175781,108.69999694824219,10.220000267028809,102819.0,1.0065
2019-07-27,9477.677734375,121.80000305175781,108.69999694824219,10.220000267028809,102819.0,1.0065
2019-07-28,9552.8603515625,121.80000305175781,108.69999694824219,10.220000267028809,102819.0,1.0065
2019-07-29,9519.1455078125,121.9000015258789,109.5999984741211,10.220000267028809,103483.0,1.0065
2019-07-30,9607.423828125,120.5999984741211,110.73999786376953,10.220000267028809,102933.0,1.0065
2019-07-31,10085.6279296875,121.11000061035156,110.25,10.220000267028809,101812.0,1.0065
2019-08-01,10399.6689453125,122.05000305175781,112.0999984741211,10.220000267028809,102126.0,1.0065
2019-08-02,10518.1748046875,121.9000015258789,111.8499984741211,10.220000267028809,102674.0,1.0065
2019-08-03,10821.7265625,121.9000015258789,111.8499984741211,10.220000267028809,102674.0,1.0065
2019-08-04,10970.1845703125,121.9000015258789,111.8499984741211,10.220000267028809,102674.0,1.0065
2019-08-05,11805.6533203125,119.98999786376953,109.5999984741211,10.220000267028809,100098.0,1.0065
2019-08-06,11478.1689453125,121.88999938964844,112.0,10.220000267028809,102164.0,1.0065
2019-08-07,11941.96875,122.44999694824219,111.69999694824219,10.220000267028809,102782.0,1.0065
2019-08-08,11966.4072265625,123.31999969482422,114.23999786376953,10.220000267028809,104115.0,1.0065
2019-08-09,11862.9365234375,122.98999786376953,115.8499984741211,10.220000267028809,103996.0,1.0065
2019-08-10,11354.0244140625,122.98999786376953,115.8499984741211,10.220000267028809,103996.0,1.0125389999999999
2019-08-11,11523.5791015625,122.98999786376953,115.8499984741211,10.220000267028809,103996.0,1.0125389999999999
2019-08-12,11382.6162109375,122.66999816894531,113.6500015258789,10.220000267028809,101915.0,1.0125389999999999
